퀴즈. 상하이 타워는 세계에서 가장 높은 건물이다.,해설. 상하이 타워는 세계에서 두 번째로 높은 건물입니다. 세계에서 가장 높은 건물은 두바이의 부르즈 할리파입니다.
퀴즈. 와이탄(The Bund)은 상하이의 신도심에 위치해 있다.,해설. 와이탄은 상하이의 구도심에 위치해 있습니다. 신도심은 주로 푸동 지역에 있으며 와이탄은 황푸강을 따라 있는 역사적인 지역입니다.
퀴즈. 동방명주탑(Oriental Pearl Tower)은 상하이에서 가장 높은 타워이다.,해설. 동방명주탑은 상하이의 유명한 타워이지만 가장 높은 타워는 아닙니다. 상하이에서 가장 높은 타워는 상하이 타워입니다.
퀴즈. 진마오 타워(Jin Mao Tower)는 세계에서 가장 높은 호텔을 포함하고 있다.,해설. 진마오 타워에는 그랜드 하얏트 호텔이 있지만 세계에서 가장 높은 호텔은 아닙니다. 두바이에 있는 게보라 호텔이 세계에서 가장 높은 호텔입니다.
퀴즈. 상하이 디즈니랜드는 아시아에서 첫 번째로 지어진 디즈니 테마파크이다.,해설. 상하이 디즈니랜드는 아시아에서 첫 번째가 아닌 여섯 번째로 지어진 디즈니 테마파크입니다. 아시아 최초의 디즈니 테마파크는 도쿄 디즈니랜드입니다.
퀴즈. 상하이 세계금융센터(Shanghai World Financial Center)는 '피라미드'라는 별명으로 불린다.,해설.상하이 세계금융센터는 '피라미드'가 아닌 '병따개'라는 별명으로 불립니다. 건물 상단의 독특한 모양 때문에 붙여진 이름입니다.
퀴즈. 상하이의 예원(Yu Garden)은 한나라 시대에 건설되었다.,해설. 예원은 명나라 시대에 건설된 전통 정원입니다. 한나라 시대와는 약 1500년의 차이가 있습니다.
퀴즈. 상하이의 와이탄(The Bund)에서 푸동 지역의 건물들은 볼 수 없다.,해설. 와이탄은 황푸강을 따라 있어 푸동 지역의 현대적인 마천루들을 한눈에 볼 수 있는 전망 좋은 장소입니다.
퀴즈. 상하이 타워는 사무실 건물만으로 사용되고 있다.,해설. 상하이 타워는 사무실뿐만 아니라 호텔 쇼핑몰 전망대 등 다양한 용도로 사용되고 있습니다.
퀴즈. 난징루(Nanjing Road)는 상하이의 전통적인 거리로 현대식 건물이 거의 없다.,해설. 난징루는 상하이에서 가장 현대적인 쇼핑 거리 중 하나로 수많은 현대식 건물과 상점들이 밀집해 있습니다. 전통적인 분위기와는 거리가 멉니다.
